event_id,visit_type,name,remarks
0,president,Theodore Roosevelt,inspect construction panama canal first visit abroad president presidentelect depart us november return us november
1,president,William Howard Taft,inspect construction panama canal meet president obaldia visit make presidentelect
2,president,William Howard Taft,part exchange visit president diaz across border
3,president,Woodrow Wilson,vacation visit make presidentelect
4,president,Woodrow Wilson,attend preliminary paris peace conference depart us december
5,president,Woodrow Wilson,meet prime minister lloyd george king george v
6,president,Woodrow Wilson,stopover en route italy
7,president,Woodrow Wilson,meet king victor emnanuel iii prime minister orlando
8,president,Woodrow Wilson,audience pope benedict xv
9,president,Woodrow Wilson,attend paris peace conference arrive us february
10,president,Woodrow Wilson,attend paris peace conference depart us march
11,president,Woodrow Wilson,meet king albert address parliament
12,president,Woodrow Wilson,attend paris peace conference return us july
13,president,Warren G. Harding,informal visit canal zone visit make presidentelect
14,president,Warren G. Harding,stop return us visit make presidentelect
15,president,Warren G. Harding,official reception return alaska
16,president,Calvin Coolidge,address sixth international conference american state
17,president,Herbert C. Hoover,good trip visit make presidentelect
18,president,Herbert C. Hoover,good trip visit make presidentelect
19,president,Herbert C. Hoover,good trip visit make presidentelect
20,president,Herbert C. Hoover,good trip visit make presidentelect
21,president,Herbert C. Hoover,good trip visit make presidentelect
22,president,Herbert C. Hoover,good trip visit make presidentelect
23,president,Herbert C. Hoover,good trip visit make presidentelect
24,president,Herbert C. Hoover,good trip visit make presidentelect
25,president,Herbert C. Hoover,good trip visit make presidentelect
26,president,Herbert C. Hoover,good trip visit make presidentelect
27,president,Franklin D. Roosevelt,fish trip visit make presidentelect
28,president,Franklin D. Roosevelt,vacation
29,president,Franklin D. Roosevelt,fish trip
30,president,Franklin D. Roosevelt,informal visit en route vacation hawaii
31,president,Franklin D. Roosevelt,informal visit en route vacation hawaii
32,president,Franklin D. Roosevelt,informal visit en route vacation hawaii
33,president,Franklin D. Roosevelt,fish trip
34,president,Franklin D. Roosevelt,informal visit president arias return washington dc west coast
35,president,Franklin D. Roosevelt,fish trip
36,president,Franklin D. Roosevelt,vacation
37,president,Franklin D. Roosevelt,official visit meet governor general lord tweedsmuir
38,president,Franklin D. Roosevelt,stop way south america
39,president,Franklin D. Roosevelt,address brazilian congress
