visit_type,name,country,locale,remarks,date
president,Theodore Roosevelt,Panama,"Colon, Panama City",To inspect construction of Panama Canal. First visit abroad by any President or President-elect. Departed the U.S. November 9; returned to U.S. November 26.,"November 14â€“17, 1906"
president,William Howard Taft,Panama,"Colon, Panama City",Inspected construction of Panama Canal. Met with President Obaldia. [Visit made as President-elect.],"January 29â€“February 7, 1909"
president,William Howard Taft,Mexico,Ciudad Juarez,Part of an exchange of visits with President Diaz across the border.,"October 16, 1909"
president,Woodrow Wilson,United Kingdom,Bermuda,Vacation. [Visit made as President-elect.],"November 18–December 13, 1912"
president,Woodrow Wilson,France,"Paris, Chaumont",Attended Preliminary to the Paris Peace Conference. Departed the U.S. December 4.,"December 14–25, 1918"
president,Woodrow Wilson,United Kingdom,"London, Carlisle, Manchester",Met with Prime Minister Lloyd George and King George V.,"December 26–31, 1918"
president,Woodrow Wilson,France,Paris,Stopover en route to Italy.,"December 31, 1918–January 1, 1919"
president,Woodrow Wilson,Italy,"Rome, Genoa, Milan, Turin",Met with King Victor Emnanuel III and Prime Minister Orlando.,"January 1–6, 1919"
president,Woodrow Wilson,Vatican City,,Audience with Pope Benedict XV.,"January 4, 1919"
president,Woodrow Wilson,France,Paris,Attended Paris Peace Conference. Arrived In the U.S. February 24.,"January 7–February 14, 1919"
president,Woodrow Wilson,France,Paris,Attended Paris Peace Conference. Departed the U.S. March 5.,"March 14–June 18, 1919"
president,Woodrow Wilson,Belgium,"Brussels, Charleroi, Malines, Louvain","Met with King Albert, addressed Parliament.","June 18–19, 1919"
president,Woodrow Wilson,France,Paris,Attended Paris Peace Conference. Returned to U.S. July 8.,"June 20–28, 1919"
president,Warren G. Harding,Panama,"Colon, Baihos",Informal visit to Canal Zone. [Visit made as President-elect.],"November 24, 1920"
president,Warren G. Harding,United Kingdom,Kingston (Jamaica),Stopped while returning to the U.S. [Visit made as President-elect.],"November 30, 1920"
president,Warren G. Harding,Canada,Vancouver,Official reception during return from Alaska.,"July 26, 1923"
president,Calvin Coolidge,Cuba,Havana,Addressed the Sixth International Conference of American States.,"January 15â€“17, 1928"
president,Herbert C. Hoover,Honduras,Amapala,Good will trip. [Visit made as President-elect.],"November 26, 1928"
president,Herbert C. Hoover,El Salvador,Cutuco,Good will trip. [Visit made as President-elect.],"November 26, 1928"
president,Herbert C. Hoover,Nicaragua,Corinto,Good will trip. [Visit made as President-elect.],"November 27, 1928"
president,Herbert C. Hoover,Costa Rica,San Jose,Good will trip. [Visit made as President-elect.],"November 28, 1928"
president,Herbert C. Hoover,Ecuador,Guayaquil,Good will trip. [Visit made as President-elect.],"December 1, 1928"
president,Herbert C. Hoover,Peru,Lima,Good will trip. [Visit made as President-elect.],"December 5, 1928"
president,Herbert C. Hoover,Chile,"Antofagasta, Santiago",Good will trip. [Visit made as President-elect.],"December 8–11, 1928"
president,Herbert C. Hoover,Argentina,Buenos Aires,Good will trip. [Visit made as President-elect.],"December 13–15, 1928"
president,Herbert C. Hoover,Uruguay,Montevideo,Good will trip. [Visit made as President-elect.],"December 16–18, 1928"
president,Herbert C. Hoover,Brazil,Rio de Janeiro,Good will trip. [Visit made as President-elect.],"December 21–23, 1928"
president,Franklin D. Roosevelt,United Kingdom,The Bahamas,Fishing trip. [Visit made as President-elect.],"February 6–14, 1933"
president,Franklin D. Roosevelt,Canada,Campobello Island,Vacation.,"June 29–July 1, 1933"
president,Franklin D. Roosevelt,United Kingdom,The Bahamas,Fishing trip.,"March 29–April 11, 1934"
president,Franklin D. Roosevelt,Haiti,Cap Haitien,Informal visit en route to vacation in Hawaii.,"July 5–6, 1934"
president,Franklin D. Roosevelt,Colombia,Cartagena,Informal visit en route to vacation in Hawaii.,"July 10, 1934"
president,Franklin D. Roosevelt,Panama,Panama City,Informal visit en route to vacation in Hawaii.,"July 11–12, 1934"
president,Franklin D. Roosevelt,United Kingdom,The Bahamas,Fishing trip.,"March 27–April 6, 1935"
