event_id,visit_type,name,country,locale,remarks,date_start,date_end
0,president,Theodore Roosevelt,Panama,Colon,To inspect construction of Panama Canal. First visit abroad by any President or President-elect. Departed the U.S. November 9; returned to U.S. November 26.,1906-11-14,1906-11-17
0,president,Theodore Roosevelt,Panama,Panama City,To inspect construction of Panama Canal. First visit abroad by any President or President-elect. Departed the U.S. November 9; returned to U.S. November 26.,1906-11-14,1906-11-17
1,president,William Howard Taft,Panama,Colon,Inspected construction of Panama Canal. Met with President Obaldia. [Visit made as President-elect.],1909-01-29,1909-02-07
1,president,William Howard Taft,Panama,Panama City,Inspected construction of Panama Canal. Met with President Obaldia. [Visit made as President-elect.],1909-01-29,1909-02-07
2,president,William Howard Taft,Mexico,Ciudad Juarez,Part of an exchange of visits with President Diaz across the border.,1909-10-16,1909-10-16
3,president,Woodrow Wilson,United Kingdom,Bermuda,Vacation. [Visit made as President-elect.],1912-11-18,1912-12-13
4,president,Woodrow Wilson,France,Paris,Attended Preliminary to the Paris Peace Conference. Departed the U.S. December 4.,1918-12-14,1918-12-25
4,president,Woodrow Wilson,France,Chaumont,Attended Preliminary to the Paris Peace Conference. Departed the U.S. December 4.,1918-12-14,1918-12-25
5,president,Woodrow Wilson,United Kingdom,London,Met with Prime Minister Lloyd George and King George V.,1918-12-26,1918-12-31
5,president,Woodrow Wilson,United Kingdom,Carlisle,Met with Prime Minister Lloyd George and King George V.,1918-12-26,1918-12-31
5,president,Woodrow Wilson,United Kingdom,Manchester,Met with Prime Minister Lloyd George and King George V.,1918-12-26,1918-12-31
6,president,Woodrow Wilson,France,Paris,Stopover en route to Italy.,1918-12-31,1919-01-01
7,president,Woodrow Wilson,Italy,Rome,Met with King Victor Emnanuel III and Prime Minister Orlando.,1919-01-01,1919-01-06
7,president,Woodrow Wilson,Italy,Genoa,Met with King Victor Emnanuel III and Prime Minister Orlando.,1919-01-01,1919-01-06
7,president,Woodrow Wilson,Italy,Milan,Met with King Victor Emnanuel III and Prime Minister Orlando.,1919-01-01,1919-01-06
7,president,Woodrow Wilson,Italy,Turin,Met with King Victor Emnanuel III and Prime Minister Orlando.,1919-01-01,1919-01-06
8,president,Woodrow Wilson,Vatican City,,Audience with Pope Benedict XV.,1919-01-04,1919-01-04
9,president,Woodrow Wilson,France,Paris,Attended Paris Peace Conference. Arrived In the U.S. February 24.,1919-01-07,1919-02-14
10,president,Woodrow Wilson,France,Paris,Attended Paris Peace Conference. Departed the U.S. March 5.,1919-03-14,1919-06-18
11,president,Woodrow Wilson,Belgium,Brussels,"Met with King Albert, addressed Parliament.",1919-06-18,1919-06-19
11,president,Woodrow Wilson,Belgium,Charleroi,"Met with King Albert, addressed Parliament.",1919-06-18,1919-06-19
11,president,Woodrow Wilson,Belgium,Malines,"Met with King Albert, addressed Parliament.",1919-06-18,1919-06-19
11,president,Woodrow Wilson,Belgium,Louvain,"Met with King Albert, addressed Parliament.",1919-06-18,1919-06-19
12,president,Woodrow Wilson,France,Paris,Attended Paris Peace Conference. Returned to U.S. July 8.,1919-06-20,1919-06-28
13,president,Warren G. Harding,Panama,Colon,Informal visit to Canal Zone. [Visit made as President-elect.],1920-11-24,1920-11-24
13,president,Warren G. Harding,Panama,Baihos,Informal visit to Canal Zone. [Visit made as President-elect.],1920-11-24,1920-11-24
14,president,Warren G. Harding,United Kingdom,Kingston (Jamaica),Stopped while returning to the U.S. [Visit made as President-elect.],1920-11-30,1920-11-30
15,president,Warren G. Harding,Canada,Vancouver,Official reception during return from Alaska.,1923-07-26,1923-07-26
16,president,Calvin Coolidge,Cuba,Havana,Addressed the Sixth International Conference of American States.,1928-01-15,1928-01-17
17,president,Herbert C. Hoover,Honduras,Amapala,Good will trip. [Visit made as President-elect.],1928-11-26,1928-11-26
18,president,Herbert C. Hoover,El Salvador,Cutuco,Good will trip. [Visit made as President-elect.],1928-11-26,1928-11-26
19,president,Herbert C. Hoover,Nicaragua,Corinto,Good will trip. [Visit made as President-elect.],1928-11-27,1928-11-27
20,president,Herbert C. Hoover,Costa Rica,San Jose,Good will trip. [Visit made as President-elect.],1928-11-28,1928-11-28
21,president,Herbert C. Hoover,Ecuador,Guayaquil,Good will trip. [Visit made as President-elect.],1928-12-01,1928-12-01
22,president,Herbert C. Hoover,Peru,Lima,Good will trip. [Visit made as President-elect.],1928-12-05,1928-12-05
23,president,Herbert C. Hoover,Chile,Antofagasta,Good will trip. [Visit made as President-elect.],1928-12-08,1928-12-11
23,president,Herbert C. Hoover,Chile,Santiago,Good will trip. [Visit made as President-elect.],1928-12-08,1928-12-11
24,president,Herbert C. Hoover,Argentina,Buenos Aires,Good will trip. [Visit made as President-elect.],1928-12-13,1928-12-15
25,president,Herbert C. Hoover,Uruguay,Montevideo,Good will trip. [Visit made as President-elect.],1928-12-16,1928-12-18
26,president,Herbert C. Hoover,Brazil,Rio de Janeiro,Good will trip. [Visit made as President-elect.],1928-12-21,1928-12-23
27,president,Franklin D. Roosevelt,United Kingdom,The Bahamas,Fishing trip. [Visit made as President-elect.],1933-02-06,1933-02-14
28,president,Franklin D. Roosevelt,Canada,Campobello Island,Vacation.,1933-06-29,1933-07-01
29,president,Franklin D. Roosevelt,United Kingdom,The Bahamas,Fishing trip.,1934-03-29,1934-04-11
30,president,Franklin D. Roosevelt,Haiti,Cap Haitien,Informal visit en route to vacation in Hawaii.,1934-07-05,1934-07-06
31,president,Franklin D. Roosevelt,Colombia,Cartagena,Informal visit en route to vacation in Hawaii.,1934-07-10,1934-07-10
32,president,Franklin D. Roosevelt,Panama,Panama City,Informal visit en route to vacation in Hawaii.,1934-07-11,1934-07-12
33,president,Franklin D. Roosevelt,United Kingdom,The Bahamas,Fishing trip.,1935-03-27,1935-04-06
34,president,Franklin D. Roosevelt,Panama,Balboa,"Informal visit with President Arias while returning to Washington, D.C. from West Coast.",1935-10-16,1935-10-16
